Quarter,CO2 emissions (trend),CH4 emissions (trend),N2O emissions (trend),Other emissions (trend)
September 2004,108.89,37.52,5.24,1.36
December 2004,108.83,37.5,5.24,1.37
March 2005,109.71,37.57,5.25,1.36
June 2005,112,37.68,5.27,1.33
September 2005,114.98,37.8,5.29,1.27
December 2005,117.24,37.86,5.29,1.24
March 2006,117.7,37.88,5.28,1.24
June 2006,116.45,37.93,5.23,1.27
September 2006,114.62,38.06,5.18,1.31
December 2006,113.19,38.22,5.13,1.34
March 2007,112.53,38.27,5.1,1.37
June 2007,112.3,38.09,5.06,1.39
September 2007,111.97,37.74,5.02,1.42
December 2007,111.36,37.38,5,1.45
March 2008,111.02,37.17,5.01,1.49
June 2008,111.18,37.15,5.04,1.54
September 2008,111.26,37.17,5.08,1.59
December 2008,110.68,37.17,5.1,1.63
March 2009,109.92,37,5.11,1.67
June 2009,109.8,36.66,5.13,1.7
September 2009,110.55,36.3,5.15,1.74
December 2009,111.38,36.11,5.17,1.77
March 2010,111.03,36.17,5.19,1.8
June 2010,108.79,36.39,5.22,1.84
September 2010,105.55,36.52,5.26,1.9
December 2010,102.91,36.5,5.28,1.94
March 2011,101.63,36.41,5.28,1.97
June 2011,100.88,36.43,5.25,1.99
September 2011,99.4,36.54,5.23,2.02
December 2011,97.57,36.55,5.21,2.04
March 2012,96.11,36.41,5.18,2.07
June 2012,95.85,36.28,5.13,2.09
September 2012,96.47,36.28,5.07,2.1
December 2012,97.01,36.32,5.01,2.11
March 2013,96.8,36.28,4.99,2.13
June 2013,95.92,36.06,5.01,2.17
September 2013,95.11,35.82,5.04,2.22
December 2013,94.17,35.71,5.06,2.27
March 2014,93.2,35.74,5.04,2.3
June 2014,92.77,35.76,4.99,2.33
September 2014,92.77,35.64,4.92,2.37
December 2014,92.77,35.51,4.87,2.4
March 2015,91.66,35.42,4.84,2.42
June 2015,88.9,35.31,4.81,2.44
September 2015,85.55,35.13,4.78,2.47
December 2015,82.86,34.89,4.76,2.5
March 2016,82.26,34.89,4.78,2.53
June 2016,84.19,35.27,4.83,2.54
September 2016,87.47,35.8,4.91,2.54
December 2016,90.49,36.12,4.97,2.55
March 2017,91.28,36.04,4.96,2.56
June 2017,89.45,35.76,4.89,2.56
September 2017,86.51,35.58,4.8,2.55
December 2017,84.29,35.51,4.74,2.55
March 2018,83.71,35.3,4.7,2.58
June 2018,84.13,34.81,4.66,2.64
September 2018,84.24,34.2,4.6,2.7
December 2018,83.58,33.72,4.55,2.76
March 2019,82.48,33.44,4.52,2.79
June 2019,81.87,33.18,4.5,2.8
September 2019,82,32.88,4.46,2.81
December 2019,81.39,32.66,4.45,2.82
March 2020,78.97,32.59,4.46,2.84
June 2020,75.12,32.57,4.52,2.88
September 2020,71.54,32.5,4.58,2.93
December 2020,69.76,32.42,4.63,2.97
March 2021,69.91,32.38,4.69,2.97
June 2021,70.76,32.42,4.78,2.94
September 2021,71.09,32.48,4.88,2.9
December 2021,70.58,32.42,4.96,2.86
March 2022,70.1,32.43,4.99,2.86
June 2022,70.4,32.66,5.01,2.9
September 2022,71.11,32.99,5.05,2.94
December 2022,71.59,33.22,5.07,2.98
March 2023,71.52,33.12,5.03,2.97
June 2023,71.11,32.78,4.89,2.93
September 2023,70.97,32.54,4.71,2.88
December 2023,71.33,32.49,4.57,2.85
March 2024,71.92,32.54,4.55,2.84
June 2024,72.03,32.5,4.63,2.84
September 2024,71.26,32.2,4.72,2.83
December 2024,70.15,31.81,4.79,2.83
March 2025,69.2,31.53,4.82,2.83